credit_score,annual_income,dti_ratio,loan_amount,loan_term,employment_length,num_credit_lines,delinquent_history,num_delinquencies,num_credit_inquiries,revolving_util,interest_rate,loan_status
582,45793.58,12.97,7642.25,48,10,2,0,0,0,59.46,6.25,Fully Paid
625,26577.82,21.52,35275.13,24,7,4,0,0,1,51.4,5.57,Fully Paid
676,32335.31,8.52,9577.01,12,3,11,0,0,3,9.53,4.09,Fully Paid
728,151418.57,14.07,8285.05,12,15,4,1,3,3,46.29,5.15,Fully Paid
611,48316.63,5.22,24625.08,60,3,5,0,0,2,21.89,6.53,Fully Paid
635,46855.4,9.69,8099.77,24,20,3,0,0,1,40.24,2.75,Fully Paid
561,24046.33,3.41,6736.49,48,3,4,0,0,1,8.48,5.19,Default
554,45345.67,11.48,19163.73,36,15,3,0,0,0,24.75,2.81,Fully Paid
715,106568.31,18.41,15404.02,24,5,5,0,0,2,32.95,4.41,Fully Paid
758,85590.61,2.98,3686.52,36,15,6,0,0,1,75.69,3.23,Fully Paid
644,97407.61,24.29,69197.92,48,15,4,0,0,1,41.33,4.94,Fully Paid
730,29081.04,23.03,97849.45,36,1,5,0,0,1,12.17,8.1,Fully Paid
678,28802.84,7.38,7984.96,36,1,5,0,0,2,65.18,6.16,Fully Paid
598,118191.5,20.91,19171.65,60,5,7,0,0,3,7.69,5.79,Default
678,98298.54,12.3,29236.69,24,3,6,0,0,1,51.65,4.52,Fully Paid
773,51273.14,21.54,4490.44,24,3,6,0,0,2,40.94,4.3,Fully Paid
647,99889.93,27.66,1676.46,36,5,1,0,0,2,19.19,4.87,Fully Paid
775,29091.53,22.9,51814.35,60,1,11,0,0,0,31.13,7.7,Fully Paid
440,28376.57,31.03,42547.31,12,20,6,0,0,4,62.92,4.84,Default
715,22686.45,28.69,24649.38,48,2,6,0,0,2,13.19,6.41,Fully Paid
656,74375.53,15.66,12982.5,36,0,5,1,2,0,25.22,6.16,Fully Paid
626,68188.47,2.66,3053.09,60,5,3,1,2,1,25.2,6.72,Fully Paid
657,43763.27,34.55,20760.06,36,3,5,0,0,1,67.53,6.49,Default
490,37487.56,5.22,14388.64,36,3,5,0,0,3,35.3,5.56,Default
632,254926.15,16.43,7093.48,48,7,4,0,0,2,25.53,3.87,Fully Paid
678,51252.59,7.65,21725.05,36,15,3,0,0,0,40.55,3.51,Fully Paid
768,137701.04,15.63,5451.66,48,2,6,0,0,0,37.52,4.68,Fully Paid
608,54840.87,6.93,13792.08,36,3,3,0,0,0,76.44,4.96,Fully Paid
585,44336.89,31.47,14962.65,36,10,5,0,0,2,15.36,6.08,Fully Paid
609,140083.75,10.0,19819.98,24,5,7,0,0,2,48.85,4.76,Fully Paid
723,96180.17,24.9,13154.31,60,2,6,0,0,4,68.72,7.56,Fully Paid
676,59014.27,19.2,24800.1,36,20,13,0,0,1,89.25,3.59,Fully Paid
607,118211.24,5.26,52126.1,36,10,5,0,0,2,51.41,4.48,Fully Paid
691,271626.68,16.48,3897.2,24,0,2,0,0,4,29.48,5.07,Fully Paid
657,38583.81,13.35,42771.16,36,15,1,1,1,1,39.68,6.88,Fully Paid
727,79462.62,10.17,17514.8,36,7,7,0,0,0,54.2,3.67,Fully Paid
593,46839.11,22.26,702.56,48,5,4,1,1,0,75.1,9.26,Default
623,34175.88,22.97,15224.31,36,1,2,0,0,1,86.14,5.92,Fully Paid
618,33612.05,11.87,14039.4,12,3,4,0,0,0,52.8,4.0,Fully Paid
532,155655.4,11.62,21915.17,48,1,7,0,0,3,55.57,7.29,Default
673,20033.15,25.09,18815.48,12,10,6,1,1,0,69.83,6.71,Fully Paid
670,81203.66,13.19,22462.89,36,7,2,0,0,1,92.77,5.25,Fully Paid
650,36492.21,15.78,8162.77,48,10,2,0,0,2,43.77,5.01,Fully Paid
631,173424.39,20.61,10808.02,60,15,4,0,0,3,16.53,5.28,Fully Paid
536,50825.53,10.02,23552.74,12,2,5,0,0,1,38.58,4.35,Default
616,48126.84,35.17,7043.42,24,7,6,0,0,2,29.37,4.79,Default
622,153538.34,12.87,3602.74,36,10,2,0,0,0,20.4,3.81,Fully Paid
585,101324.15,5.31,4018.53,12,1,9,0,0,0,32.77,3.29,Fully Paid
637,83494.51,3.28,11306.8,36,15,4,0,0,2,57.53,3.99,Fully Paid
682,97099.08,41.33,6754.0,12,20,6,0,0,2,61.15,3.46,Fully Paid
800,31258.16,10.31,30328.79,60,20,6,1,2,5,4.56,7.38,Fully Paid
663,93435.62,34.61,43439.02,36,10,3,0,0,1,27.32,5.29,Fully Paid
670,53133.74,21.93,13029.19,12,20,4,0,0,1,38.01,2.44,Default
644,74351.18,11.5,3271.41,48,7,2,0,0,0,30.82,4.13,Fully Paid
496,80076.02,19.13,10064.95,60,15,2,0,0,1,12.13,5.17,Fully Paid
647,30751.52,20.14,43064.34,36,10,1,0,0,2,27.22,5.05,Fully Paid
654,85501.87,12.01,19007.27,36,2,4,0,0,1,61.93,5.94,Fully Paid
847,53540.07,7.23,17356.75,48,3,7,0,0,2,65.91,5.43,Fully Paid
634,28454.09,17.74,14187.66,48,15,2,1,4,2,18.83,6.99,Default
674,54833.71,14.92,23740.05,36,5,6,0,0,2,34.31,4.73,Fully Paid
647,60597.87,19.37,28927.0,12,0,3,0,0,3,40.4,4.11,Fully Paid
556,85492.09,17.03,50557.51,36,1,7,1,2,3,58.32,7.74,Default
741,14285.86,7.35,5739.84,60,20,7,0,0,0,30.65,3.23,Fully Paid
710,75575.07,19.68,24615.71,24,7,6,0,0,1,76.66,4.83,Fully Paid
713,44041.34,22.03,18133.06,12,10,7,0,0,1,14.52,3.23,Fully Paid
577,97335.99,11.11,15436.76,36,20,4,0,0,0,35.35,2.82,Fully Paid
762,59807.14,8.96,51909.13,48,1,5,0,0,4,31.36,4.98,Default
537,49019.38,10.22,14181.44,36,20,3,0,0,2,16.21,3.11,Fully Paid
696,53825.35,3.97,43281.42,36,5,3,0,0,1,22.42,4.37,Fully Paid
825,73133.79,8.47,4463.39,36,1,5,0,0,2,28.09,4.25,Fully Paid
570,103233.19,7.54,23498.03,60,2,9,0,0,3,51.15,6.86,Fully Paid
604,35078.13,2.61,14377.8,36,10,9,0,0,0,29.67,3.12,Fully Paid
657,48718.01,36.26,5430.74,36,20,4,0,0,2,18.41,3.69,Default
609,144582.8,14.63,4815.05,12,2,2,0,0,0,48.22,3.37,Fully Paid
525,48210.54,20.29,19300.42,48,15,3,0,0,2,61.09,5.22,Fully Paid
655,74633.88,12.99,35295.87,48,1,5,0,0,2,68.14,6.18,Fully Paid
565,28552.07,33.81,97219.7,60,20,4,0,0,2,49.34,8.35,Default
687,21403.2,15.62,27546.0,24,3,4,0,0,2,26.05,5.88,Fully Paid
576,32076.44,17.39,12539.1,12,2,1,1,3,2,25.44,6.13,Default
773,39579.43,10.51,4727.86,36,5,2,0,0,0,56.5,4.66,Fully Paid
587,111741.86,4.46,26209.81,48,5,8,0,0,0,31.81,4.74,Fully Paid
624,119338.08,6.26,16408.65,36,3,2,0,0,1,24.13,4.57,Fully Paid
715,18860.17,20.1,28990.37,36,2,9,0,0,3,77.51,7.69,Default
551,43271.65,19.39,12442.57,60,15,8,0,0,1,56.22,5.28,Fully Paid
668,91005.36,18.67,6391.91,48,5,5,0,0,0,31.01,4.79,Fully Paid
754,56206.52,3.93,104650.29,60,3,7,0,0,0,60.84,7.42,Fully Paid
521,147669.96,27.72,5296.06,36,5,2,0,0,1,38.81,4.87,Default
664,89688.74,10.72,15985.97,48,7,6,0,0,1,22.08,4.43,Fully Paid
670,50990.21,18.37,5827.13,36,20,9,0,0,2,12.33,2.07,Fully Paid
712,53787.61,35.11,14794.28,36,5,7,0,0,2,12.04,5.07,Fully Paid
551,57868.36,20.03,27318.29,36,1,7,0,0,2,21.55,5.58,Default
544,36041.47,11.42,27898.25,48,10,5,0,0,4,54.97,7.2,Fully Paid
691,105190.52,25.17,53455.62,36,20,4,0,0,0,42.42,3.92,Fully Paid
673,93475.75,11.25,25424.77,36,10,5,0,0,0,82.64,4.21,Fully Paid
670,78634.24,1.98,2206.51,24,3,5,0,0,5,69.16,5.19,Fully Paid
677,69254.6,8.59,3292.34,24,5,4,0,0,2,5.08,3.65,Fully Paid
595,32502.79,19.74,2478.49,24,15,3,0,0,1,17.88,3.23,Fully Paid
668,81025.23,19.94,25169.97,12,7,5,0,0,2,28.39,3.89,Fully Paid
673,64696.44,17.18,2491.91,24,2,7,0,0,2,64.32,4.43,Fully Paid
592,199059.98,36.0,9016.19,12,3,3,0,0,1,10.44,3.94,Default
799,27557.37,3.3,7926.6,48,2,2,0,0,2,80.57,6.11,Fully Paid
687,38794.07,1.18,10109.35,60,7,9,0,0,1,68.79,5.21,Fully Paid
554,23109.83,30.39,4070.96,36,5,7,0,0,5,36.85,6.3,Default
702,52532.54,20.48,10295.56,48,0,4,1,2,1,69.38,8.3,Fully Paid
572,21066.94,29.55,16385.58,12,7,6,1,6,1,36.03,6.85,Default
712,121942.02,7.16,10651.66,48,10,5,0,0,0,75.52,4.82,Fully Paid
742,115305.73,38.84,12861.52,24,5,3,0,0,3,38.57,4.35,Fully Paid
584,54405.52,22.17,15785.97,36,5,3,0,0,0,53.9,4.99,Fully Paid
727,32590.2,2.83,10456.75,48,5,6,0,0,3,17.35,5.82,Fully Paid
683,23993.51,7.68,13937.06,36,20,1,1,4,2,19.3,5.97,Default
715,39249.0,11.22,48131.16,36,7,6,0,0,1,52.45,5.55,Fully Paid
801,87135.78,17.83,3618.83,60,20,5,0,0,2,60.77,5.26,Fully Paid
630,37338.06,40.45,21220.74,60,7,3,0,0,2,39.72,6.66,Default
589,188178.4,16.06,22330.76,36,10,5,0,0,0,49.66,4.38,Fully Paid
578,146446.77,8.68,38151.25,36,7,7,1,1,4,85.75,7.81,Default
584,59903.75,11.12,28841.6,60,7,6,0,0,1,48.31,5.42,Default
643,45382.37,26.79,11330.84,12,20,7,0,0,1,56.32,3.85,Fully Paid
677,42552.01,15.31,8553.75,48,10,5,0,0,1,68.87,4.91,Fully Paid
672,156220.86,6.5,15197.7,36,3,7,0,0,3,46.27,5.37,Fully Paid
716,40375.68,11.18,54826.72,36,20,3,1,2,1,32.7,6.25,Fully Paid
651,104885.17,24.37,13759.84,60,7,7,0,0,4,42.81,6.43,Fully Paid
766,60662.16,8.38,41041.94,36,1,7,0,0,1,46.57,4.93,Fully Paid
628,91870.69,12.66,5251.1,24,7,3,0,0,2,23.61,3.56,Fully Paid
850,36598.47,17.42,12393.8,12,2,8,0,0,2,31.95,3.92,Fully Paid
700,49033.0,9.84,6158.16,36,3,6,1,1,1,38.21,6.16,Fully Paid
581,59011.67,12.72,8938.54,60,1,7,0,0,2,55.24,7.15,Default
564,40993.96,10.03,9798.85,24,2,7,0,0,0,25.53,4.26,Fully Paid
688,126694.57,16.18,19003.99,36,5,8,0,0,1,42.35,4.9,Fully Paid
632,37851.09,28.95,14951.54,24,15,5,1,3,0,50.45,5.96,Default
707,42352.41,31.31,9748.3,48,0,3,0,0,1,14.57,4.6,Fully Paid
687,135295.97,30.68,3213.65,48,15,5,1,1,1,37.03,6.42,Fully Paid
644,120445.95,1.46,41010.54,48,3,2,1,1,2,47.1,7.3,Fully Paid
582,155249.26,11.33,26356.47,48,0,8,0,0,0,4.98,5.64,Fully Paid
528,19054.07,12.35,26146.73,60,1,3,0,0,5,43.77,9.19,Default
614,67537.19,19.81,6271.24,48,0,5,0,0,1,33.1,6.15,Default
718,63206.9,14.76,20749.14,12,3,5,1,3,0,57.98,5.45,Fully Paid
667,42742.98,21.57,8130.76,60,7,6,0,0,0,70.82,5.6,Fully Paid
550,72742.1,21.59,40002.21,12,2,5,0,0,2,40.51,5.19,Fully Paid
663,49371.81,7.4,4992.96,48,2,4,0,0,1,51.85,5.62,Fully Paid
680,65985.83,19.87,8231.33,48,10,5,0,0,1,42.78,4.17,Fully Paid
579,460987.1,15.51,30860.1,24,3,4,1,1,1,37.33,5.89,Fully Paid
662,72422.95,16.57,15477.34,12,5,3,0,0,2,16.28,3.63,Fully Paid
654,74271.23,22.79,30633.11,24,20,2,0,0,0,40.32,3.43,Fully Paid
558,98000.87,17.64,9147.85,60,7,4,0,0,3,41.08,6.36,Default
678,66728.45,13.42,63050.36,36,2,2,0,0,2,27.74,6.01,Fully Paid
694,30982.58,22.35,3931.3,36,5,8,1,2,3,38.28,7.59,Default
736,22291.77,20.33,22802.62,60,7,4,0,0,0,16.03,6.42,Fully Paid
734,58831.07,41.97,8682.09,36,7,8,0,0,0,17.21,4.27,Fully Paid
539,50946.6,22.59,27774.74,36,15,5,0,0,1,44.52,3.43,Default
574,18431.91,14.85,40153.44,12,1,5,0,0,0,23.26,5.36,Fully Paid
691,159155.29,9.28,16235.51,48,3,5,0,0,1,19.76,5.89,Fully Paid
691,63844.25,7.66,41314.05,60,0,4,0,0,3,61.59,7.04,Fully Paid
691,142011.29,13.73,5333.96,36,3,3,0,0,0,36.28,4.99,Fully Paid
850,15691.63,17.57,3428.94,48,7,8,0,0,0,31.44,4.01,Fully Paid
695,143643.85,4.78,63030.96,60,0,5,0,0,0,21.29,5.61,Fully Paid
740,44751.35,22.25,27558.91,24,0,3,0,0,2,53.09,4.33,Fully Paid
726,127451.95,4.68,15324.31,24,15,4,0,0,0,41.75,2.57,Fully Paid
702,68112.84,6.94,34914.64,48,15,3,0,0,0,27.15,2.79,Fully Paid
624,78586.4,21.51,9844.95,48,10,3,0,0,4,25.32,5.77,Fully Paid
710,78645.86,21.17,3916.14,12,15,7,0,0,1,59.05,3.12,Fully Paid
588,46393.63,12.94,6379.15,36,5,6,0,0,2,35.88,4.63,Default
631,40623.06,18.36,13653.71,12,2,5,0,0,2,23.9,4.91,Fully Paid
611,48209.14,23.5,63335.71,48,2,4,0,0,1,54.63,7.3,Default
656,24756.78,16.07,13784.55,36,1,4,0,0,2,5.37,5.17,Fully Paid
835,44872.2,32.85,14163.59,48,20,9,0,0,2,12.44,4.71,Fully Paid
500,39415.92,21.25,9528.92,36,10,7,0,0,4,65.87,6.8,Default
704,24402.89,21.58,21488.38,48,0,4,0,0,2,74.02,7.73,Default
520,78841.89,6.32,9628.57,36,0,7,0,0,1,21.58,4.82,Fully Paid
612,60152.03,35.18,4867.14,48,2,5,0,0,1,70.88,6.83,Default
737,69398.84,26.53,12351.2,48,5,3,1,3,2,73.66,7.98,Fully Paid
655,90986.87,13.83,4056.79,36,2,4,0,0,1,44.32,4.95,Fully Paid
563,51910.89,1.62,20034.93,48,7,7,0,0,0,35.44,5.89,Default
592,34090.37,5.33,12994.59,24,20,5,0,0,3,55.24,3.86,Fully Paid
704,71852.11,28.23,16498.04,48,10,7,1,2,3,17.57,6.9,Fully Paid
591,10370.1,12.91,11979.57,36,2,2,0,0,0,31.22,5.68,Default
667,56114.13,31.7,23077.28,12,3,2,0,0,0,34.99,3.82,Fully Paid
653,94759.86,8.23,8104.55,12,1,6,0,0,2,36.26,4.57,Fully Paid
597,112213.12,34.16,2842.83,36,15,5,0,0,4,36.26,5.29,Default
821,43579.15,15.79,6524.14,48,20,5,0,0,1,38.61,2.97,Fully Paid
700,15602.21,27.74,16764.79,36,2,6,0,0,2,57.51,6.12,Fully Paid
487,12333.08,3.65,21295.73,48,0,2,0,0,0,52.77,7.17,Default
664,87801.27,11.83,10703.14,24,5,2,0,0,1,35.54,3.36,Fully Paid
597,48417.19,18.85,41828.78,36,3,7,0,0,1,48.44,5.92,Fully Paid
718,200863.22,23.44,25834.74,36,7,5,0,0,4,38.2,4.39,Fully Paid
586,25676.66,10.57,4051.91,36,15,10,0,0,1,39.56,3.63,Default
640,73526.53,19.01,34270.82,60,3,9,0,0,1,72.02,6.28,Default
690,162333.96,18.03,25541.8,48,20,2,0,0,1,14.96,3.01,Fully Paid
719,67770.15,11.88,15260.86,60,1,4,1,4,1,56.03,8.56,Fully Paid
553,23036.59,28.79,12010.58,60,7,3,0,0,2,20.99,6.37,Default
623,316021.89,0.47,5559.21,60,1,5,1,2,2,56.43,8.26,Fully Paid
612,154562.29,21.87,32235.3,36,5,3,0,0,2,22.43,4.61,Fully Paid
597,52242.54,27.89,5463.55,60,3,4,0,0,1,15.14,6.44,Fully Paid
791,97867.76,9.79,7113.82,36,2,4,0,0,1,32.84,4.53,Fully Paid
682,98498.51,18.32,14668.44,12,3,11,1,1,2,83.27,7.2,Fully Paid
549,87997.41,37.11,6288.02,36,2,2,1,3,0,33.96,6.83,Default
723,26132.97,11.18,6711.0,36,0,5,0,0,2,65.04,5.63,Fully Paid
819,72728.93,23.46,3063.0,48,3,6,0,0,1,26.03,4.48,Fully Paid
732,143836.05,6.7,16582.79,48,0,4,0,0,0,33.23,4.36,Fully Paid
528,81041.47,11.07,48025.08,24,7,2,0,0,2,66.43,6.4,Default
611,75984.95,8.63,5801.22,48,5,6,0,0,2,44.31,4.84,Fully Paid
751,43386.58,6.1,28197.03,36,5,11,0,0,0,38.26,4.2,Fully Paid
593,34808.36,11.96,11848.57,60,5,5,0,0,1,12.62,4.98,Fully Paid
685,23306.55,42.2,6562.8,48,3,5,0,0,2,41.5,5.78,Fully Paid
711,94322.85,40.79,9440.12,48,1,7,0,0,2,46.06,6.16,Fully Paid
575,52442.33,17.69,8554.65,24,3,6,0,0,2,53.3,5.33,Fully Paid
645,26773.62,17.87,5115.63,36,2,4,0,0,4,13.38,5.32,Fully Paid
390,107564.42,13.07,11424.96,36,0,5,0,0,2,28.02,5.41,Default
568,42102.12,23.66,26876.63,36,0,4,0,0,2,59.23,6.73,Default
629,35784.89,22.99,13858.07,60,1,2,0,0,1,8.48,6.12,Fully Paid
550,44455.82,5.13,36728.94,60,3,4,0,0,1,69.82,6.78,Default
780,53324.25,15.35,8415.82,24,10,5,0,0,1,49.07,3.39,Fully Paid
535,78811.42,7.57,2497.64,12,0,5,0,0,5,54.36,5.5,Fully Paid
614,35412.21,4.94,15930.89,24,0,5,0,0,0,32.64,4.43,Default
660,109778.98,21.6,7338.71,60,20,3,0,0,3,43.6,4.98,Fully Paid
765,80060.49,16.46,7009.69,36,15,8,1,3,3,65.77,5.51,Fully Paid
535,43967.34,4.39,36143.51,48,1,5,1,4,4,55.42,9.54,Default
743,54400.36,8.71,8270.25,60,3,9,0,0,1,64.44,6.25,Fully Paid
650,46463.46,22.63,22130.42,36,3,5,0,0,0,26.92,3.6,Default
571,62287.67,31.74,36526.86,36,0,8,0,0,2,30.21,5.65,Default
686,149033.2,8.87,26345.28,36,5,5,1,2,6,22.8,8.07,Fully Paid
665,46177.05,15.53,15424.39,24,7,1,0,0,1,13.3,4.13,Fully Paid
601,67082.57,8.81,13758.76,12,7,3,0,0,1,18.47,2.85,Fully Paid
655,39373.58,19.23,12727.46,12,20,4,0,0,1,46.91,3.66,Fully Paid
619,82386.18,9.22,9790.88,36,3,11,0,0,0,32.17,4.09,Fully Paid
659,70674.77,25.84,7112.48,36,1,3,0,0,2,46.46,5.92,Fully Paid
702,132955.62,20.56,26611.4,36,10,5,0,0,1,26.8,4.13,Fully Paid
776,36405.89,28.97,10540.7,48,5,5,0,0,3,65.96,6.47,Fully Paid
550,90612.3,7.63,3162.62,24,5,4,0,0,0,50.16,3.42,Fully Paid
820,127829.18,6.6,8666.2,60,5,3,0,0,2,52.41,6.13,Fully Paid
493,46047.53,4.07,7736.23,48,1,4,0,0,2,44.05,5.83,Default
637,55482.77,18.35,16733.82,36,3,4,0,0,3,7.97,5.31,Fully Paid
697,67133.8,24.61,9476.14,60,20,2,0,0,0,33.27,4.08,Fully Paid
672,51950.82,26.23,22876.53,12,1,5,0,0,0,47.6,4.71,Fully Paid
600,66595.45,18.25,25156.76,12,7,13,0,0,0,34.18,3.84,Fully Paid
633,89685.26,6.58,4960.33,48,3,7,0,0,0,14.42,3.32,Fully Paid
610,55916.48,22.44,23488.91,24,3,7,0,0,0,29.03,4.59,Fully Paid
602,55654.64,0.82,1110.39,24,20,3,0,0,1,47.31,3.29,Fully Paid
717,70262.75,3.25,31057.3,12,7,4,0,0,3,26.88,3.29,Fully Paid
678,47122.17,7.91,8475.4,36,2,3,0,0,1,24.39,4.64,Fully Paid
594,48541.39,21.49,12807.19,48,3,8,0,0,1,59.13,5.48,Default
721,34915.42,21.68,4943.44,48,7,3,1,2,2,8.66,6.56,Fully Paid
674,58379.21,9.9,5645.83,48,3,7,0,0,4,30.23,4.95,Fully Paid
715,78327.18,29.69,6622.03,12,7,2,0,0,1,15.38,3.08,Fully Paid
700,50945.8,21.46,15840.98,24,5,2,0,0,1,48.16,3.99,Fully Paid
583,37642.66,25.95,3381.12,36,2,3,0,0,1,60.49,6.04,Fully Paid
605,56515.49,15.36,13674.52,12,1,10,1,1,4,58.44,7.83,Default
709,75982.07,16.51,16047.54,48,2,4,0,0,0,41.53,3.9,Fully Paid
698,64652.47,8.52,3947.67,36,3,6,0,0,1,35.77,5.35,Fully Paid
648,228143.47,13.58,69678.4,36,0,9,0,0,1,19.86,5.14,Fully Paid
659,40382.45,23.77,12851.73,48,7,6,0,0,1,32.85,5.28,Default
752,54710.44,7.21,5168.99,24,5,9,0,0,0,47.54,3.6,Fully Paid
602,95566.58,28.89,10814.51,48,10,1,0,0,2,61.9,5.66,Default
693,39465.89,25.43,11081.79,60,0,6,0,0,2,16.17,6.01,Fully Paid
633,190409.32,6.96,3638.06,48,15,1,0,0,0,18.08,3.04,Fully Paid
632,60040.2,18.3,1654.25,36,1,5,0,0,1,17.09,4.88,Fully Paid
737,83841.74,36.28,35527.59,60,5,7,0,0,2,22.98,5.29,Fully Paid
716,60561.11,6.17,8236.58,36,2,7,0,0,0,15.61,3.84,Fully Paid
715,110324.66,18.43,6288.55,36,2,3,0,0,0,24.9,4.28,Fully Paid
754,31643.67,24.66,7829.54,60,2,3,0,0,1,79.77,7.62,Fully Paid
651,153753.89,11.41,15679.13,36,5,2,0,0,2,16.95,4.36,Default
704,68804.97,4.95,14983.03,48,1,3,0,0,2,44.68,6.91,Fully Paid
625,88882.92,33.12,3125.67,24,0,4,0,0,1,11.42,5.29,Fully Paid
675,38444.65,24.13,13105.0,36,20,2,0,0,0,34.61,2.74,Fully Paid
639,73302.19,11.19,67504.21,36,5,7,0,0,1,5.3,5.4,Fully Paid
657,33496.83,10.33,38618.54,36,15,3,0,0,2,45.49,5.35,Fully Paid
697,121222.95,20.72,9581.21,12,0,5,0,0,3,41.63,5.06,Fully Paid
584,27615.02,3.06,43380.32,48,3,5,0,0,2,41.82,6.93,Default
817,65677.0,18.19,39486.35,48,5,4,1,2,0,61.91,7.71,Fully Paid
569,47426.88,3.19,12604.73,36,5,9,0,0,1,44.1,5.22,Default
552,23445.25,5.45,3798.11,36,20,2,0,0,2,22.1,3.02,Fully Paid
742,34159.12,19.99,8938.8,12,3,5,0,0,1,25.38,4.75,Fully Paid
713,78413.88,27.83,5227.79,48,2,6,0,0,1,33.15,5.73,Fully Paid
